Latitude,Longitude,Total Ports,EV Connector Type
40.63947,-74.076912,5,J1772
40.63947,-74.076912,0,J1772COMBO
40.63947,-74.076912,0,Simultaneous DCFC Ports
40.63947,-74.076912,0,TESLA
40.645659,-73.779481,0,CHADEMO
40.645659,-73.779481,2,J1772
40.645659,-73.779481,0,J1772COMBO
40.645659,-73.779481,0,Simultaneous DCFC Ports
40.645659,-73.779481,0,TESLA
40.64572,-73.779384,0,CHADEMO
40.64572,-73.779384,2,J1772
40.64572,-73.779384,0,J1772COMBO
40.64572,-73.779384,0,Simultaneous DCFC Ports
40.64572,-73.779384,0,TESLA
40.645758,-73.779314,0,CHADEMO
40.645758,-73.779314,2,J1772
40.645758,-73.779314,0,J1772COMBO
40.645758,-73.779314,0,Simultaneous DCFC Ports
40.645758,-73.779314,0,TESLA
40.645841,-73.779222,0,CHADEMO
40.645841,-73.779222,2,J1772
40.645841,-73.779222,0,J1772COMBO
40.645841,-73.779222,0,Simultaneous DCFC Ports
40.645841,-73.779222,0,TESLA
40.645916,-73.779152,0,CHADEMO
40.645916,-73.779152,2,J1772
40.645916,-73.779152,0,J1772COMBO
40.645916,-73.779152,0,Simultaneous DCFC Ports
40.645916,-73.779152,0,TESLA
40.649116,-74.006479,0,CHADEMO
40.649116,-74.006479,2,J1772
40.649116,-74.006479,0,J1772COMBO
40.649116,-74.006479,0,Simultaneous DCFC Ports
40.649116,-74.006479,0,TESLA
40.654208,-73.569134,0,CHADEMO
40.654208,-73.569134,2,J1772
40.654208,-73.569134,0,J1772COMBO
40.654208,-73.569134,0,Simultaneous DCFC Ports
40.654208,-73.569134,0,TESLA
40.654381,-73.913436,0,CHADEMO
40.654381,-73.913436,4,J1772
40.654381,-73.913436,0,J1772COMBO
40.654381,-73.913436,0,Simultaneous DCFC Ports
40.654381,-73.913436,0,TESLA
40.654476,-73.946741,0,CHADEMO
40.654476,-73.946741,4,J1772
40.654476,-73.946741,0,J1772COMBO
40.654476,-73.946741,0,Simultaneous DCFC Ports
40.654476,-73.946741,0,TESLA
40.655617,-73.596005,0,CHADEMO
40.655617,-73.596005,2,J1772
40.655617,-73.596005,0,J1772COMBO
40.655617,-73.596005,0,Simultaneous DCFC Ports
40.655617,-73.596005,0,TESLA
40.656083,-73.808091,10,CHADEMO
40.656083,-73.808091,0,J1772
40.656083,-73.808091,10,J1772COMBO
40.656083,-73.808091,0,Simultaneous DCFC Ports
40.656083,-73.808091,0,TESLA
40.65609058,-73.80807874,10,CHADEMO
40.65609058,-73.80807874,0,J1772
40.65609058,-73.80807874,10,J1772COMBO
40.65609058,-73.80807874,0,Simultaneous DCFC Ports
40.65609058,-73.80807874,0,TESLA
40.656102,-73.940436,0,CHADEMO
40.656102,-73.940436,4,J1772
40.656102,-73.940436,0,J1772COMBO
40.656102,-73.940436,0,Simultaneous DCFC Ports
40.656102,-73.940436,0,TESLA
40.656148,-73.940355,0,CHADEMO
40.656148,-73.940355,0,J1772
40.656148,-73.940355,0,J1772COMBO
40.656148,-73.940355,0,Simultaneous DCFC Ports
40.656148,-73.940355,2,TESLA
40.656459,-73.977527,1,CHADEMO
40.656459,-73.977527,0,J1772
40.656459,-73.977527,1,J1772COMBO
40.656459,-73.977527,0,Simultaneous DCFC Ports
40.656459,-73.977527,0,TESLA
40.656692,-73.580924,0,CHADEMO
40.656692,-73.580924,2,J1772
40.656692,-73.580924,0,J1772COMBO
40.656692,-73.580924,0,Simultaneous DCFC Ports
40.656692,-73.580924,0,TESLA
40.65676618,-74.00480169,0,CHADEMO
40.65676618,-74.00480169,6,J1772
40.65676618,-74.00480169,0,J1772COMBO
40.65676618,-74.00480169,0,Simultaneous DCFC Ports
40.65676618,-74.00480169,0,TESLA
40.6567801,-73.9777597,0,CHADEMO
40.6567801,-73.9777597,1,J1772
40.6567801,-73.9777597,0,J1772COMBO
40.6567801,-73.9777597,0,Simultaneous DCFC Ports
40.6567801,-73.9777597,0,TESLA
40.656884,-73.396359,0,CHADEMO
40.656884,-73.396359,1,J1772
40.656884,-73.396359,0,J1772COMBO
40.656884,-73.396359,0,Simultaneous DCFC Ports
40.656884,-73.396359,0,TESLA
40.656891,-73.39625,0,CHADEMO
40.656891,-73.39625,1,J1772
40.656891,-73.39625,0,J1772COMBO
40.656891,-73.39625,0,Simultaneous DCFC Ports
40.656891,-73.39625,0,TESLA
40.657441,-73.874619,0,CHADEMO
40.657441,-73.874619,4,J1772
40.657441,-73.874619,0,J1772COMBO
40.657441,-73.874619,0,Simultaneous DCFC Ports
40.657441,-73.874619,0,TESLA
40.659333,-74.006419,0,CHADEMO
40.659333,-74.006419,2,J1772
40.659333,-74.006419,0,J1772COMBO
40.659333,-74.006419,0,Simultaneous DCFC Ports
40.659333,-74.006419,0,TESLA
40.659338,-74.006454,0,CHADEMO
40.659338,-74.006454,2,J1772
40.659338,-74.006454,0,J1772COMBO
40.659338,-74.006454,0,Simultaneous DCFC Ports
40.659338,-74.006454,0,TESLA
40.66179,-73.79282,0,CHADEMO
40.66179,-73.79282,0,J1772
40.66179,-73.79282,0,J1772COMBO
40.66179,-73.79282,0,Simultaneous DCFC Ports
40.66179,-73.79282,4,TESLA
40.662119,-73.723241,1,CHADEMO
40.662119,-73.723241,1,J1772
40.662119,-73.723241,4,J1772COMBO
40.662119,-73.723241,0,Simultaneous DCFC Ports
40.662119,-73.723241,0,TESLA
40.664127,-73.7251,0,CHADEMO
40.664127,-73.7251,0,J1772
40.664127,-73.7251,0,J1772COMBO
40.664127,-73.7251,0,Simultaneous DCFC Ports
40.664127,-73.7251,16,TESLA
40.665961,-73.536912,0,CHADEMO
40.665961,-73.536912,0,J1772
40.665961,-73.536912,1,J1772COMBO
40.665961,-73.536912,0,Simultaneous DCFC Ports
40.665961,-73.536912,0,TESLA
40.66696,-73.975032,0,CHADEMO
40.66696,-73.975032,2,J1772
40.66696,-73.975032,0,J1772COMBO
40.66696,-73.975032,0,Simultaneous DCFC Ports
40.66696,-73.975032,0,TESLA
40.668403,-73.990389,0,CHADEMO
40.668403,-73.990389,0,J1772
40.668403,-73.990389,0,J1772COMBO
40.668403,-73.990389,0,Simultaneous DCFC Ports
40.668403,-73.990389,4,TESLA
40.668517,-73.983283,0,CHADEMO
40.668517,-73.983283,2,J1772
40.668517,-73.983283,0,J1772COMBO
40.668517,-73.983283,0,Simultaneous DCFC Ports
40.668517,-73.983283,0,TESLA
40.669936,-73.963069,0,CHADEMO
40.669936,-73.963069,0,J1772
40.669936,-73.963069,0,J1772COMBO
40.669936,-73.963069,0,Simultaneous DCFC Ports
40.669936,-73.963069,10,TESLA
40.670497,-73.717206,0,CHADEMO
40.670497,-73.717206,1,J1772
40.670497,-73.717206,0,J1772COMBO
40.670497,-73.717206,0,Simultaneous DCFC Ports
40.670497,-73.717206,0,TESLA
40.671379,-74.011649,0,CHADEMO
40.671379,-74.011649,1,J1772
40.671379,-74.011649,0,J1772COMBO
40.671379,-74.011649,0,Simultaneous DCFC Ports
40.671379,-74.011649,0,TESLA
40.671393,-74.011584,0,CHADEMO
40.671393,-74.011584,1,J1772
40.671393,-74.011584,0,J1772COMBO
40.671393,-74.011584,0,Simultaneous DCFC Ports
40.671393,-74.011584,0,TESLA
40.671397,-74.011643,0,CHADEMO
40.671397,-74.011643,1,J1772
40.671397,-74.011643,0,J1772COMBO
40.671397,-74.011643,0,Simultaneous DCFC Ports
40.671397,-74.011643,0,TESLA
40.672726,-73.971664,0,CHADEMO
40.672726,-73.971664,1,J1772
40.672726,-73.971664,0,J1772COMBO
40.672726,-73.971664,0,Simultaneous DCFC Ports
40.672726,-73.971664,2,TESLA
40.672845,-73.986284,0,CHADEMO
40.672845,-73.986284,0,J1772
40.672845,-73.986284,0,J1772COMBO
40.672845,-73.986284,0,Simultaneous DCFC Ports
40.672845,-73.986284,4,TESLA
40.674253,-73.985057,0,CHADEMO
40.674253,-73.985057,0,J1772
40.674253,-73.985057,0,J1772COMBO
